actor_id,actor_login,year,week_number,week_start,total_events,distinct_repos,push_count,pr_count,issue_count,time_grain,gold_ingested_at
13460388,Hobr,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
88038957,quantum-vix,2024,1,2024-01-01,1,1,1,0,0,week,2026-05-14 21:48:32.391286
50163206,penzboti,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
12492378,katjaluther,2024,1,2024-01-01,1,1,1,0,0,week,2026-05-14 21:48:32.391286
35350615,soniXx123,2024,1,2024-01-01,2,1,2,0,0,week,2026-05-14 21:48:32.391286
56408064,dawnaitken,2024,1,2024-01-01,1,1,1,0,0,week,2026-05-14 21:48:32.391286
103359817,intshc,2024,1,2024-01-01,3,1,1,2,0,week,2026-05-14 21:48:32.391286
2802475,brileyhe,2024,1,2024-01-01,2,1,0,0,0,week,2026-05-14 21:48:32.391286
42943070,RubberDuckShobe,2024,1,2024-01-01,1,1,1,0,0,week,2026-05-14 21:48:32.391286
3799718,mwender,2024,1,2024-01-01,1,1,1,0,0,week,2026-05-14 21:48:32.391286
11140618,eragmus,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
69023953,Purfview,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
6422482,facebook-github-bot,2024,1,2024-01-01,37,5,0,0,0,week,2026-05-14 21:48:32.391286
66063733,Emin-Abdurahmanov,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
11426119,Sandy4321,2024,1,2024-01-01,2,1,0,0,0,week,2026-05-14 21:48:32.391286
10991704,xoka,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
2508421,xyyjk,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
154863885,AvoidantPerDis,2024,1,2024-01-01,3,1,0,0,1,week,2026-05-14 21:48:32.391286
36656729,Crinouche,2024,1,2024-01-01,1,1,0,0,1,week,2026-05-14 21:48:32.391286
20577747,danielpetrovic,2024,1,2024-01-01,2,1,0,1,0,week,2026-05-14 21:48:32.391286
169837,adorilson,2024,1,2024-01-01,3,1,0,0,0,week,2026-05-14 21:48:32.391286
25942564,pliskinfree,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
3759289,oktal3700,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
147977900,mnrniloy,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
79099626,zivnevo,2024,1,2024-01-01,1,1,0,0,1,week,2026-05-14 21:48:32.391286
24765473,obriensystems,2024,1,2024-01-01,1,1,0,0,1,week,2026-05-14 21:48:32.391286
