org_login,repo_name,detected_language,commit_count,gold_ingested_at
RTa-scp,RTa-scp/files,JavaScript,2,2026-05-14 21:52:28.764978
db-ui,db-ui/theme-builder,JavaScript,2,2026-05-14 21:52:28.764978
UrsaMU,UrsaMU/ursamu,TypeScript,2,2026-05-14 21:52:28.764978
dotnet,dotnet/emsdk,C#,2,2026-05-14 21:52:28.764978
Lightning-Universe,Lightning-Universe/Text-Prediction_component,Python,2,2026-05-14 21:52:28.764978
Pejomi,Pejomi/mtogo-microservices,JavaScript,2,2026-05-14 21:52:28.764978
webdoky,webdoky/content,JavaScript,2,2026-05-14 21:52:28.764978
vaadin,vaadin/flow,JavaScript,2,2026-05-14 21:52:28.764978
laravel,laravel/framework,PHP,2,2026-05-14 21:52:28.764978
Club-PARD,Club-PARD/My_Precious_WEB,JavaScript,2,2026-05-14 21:52:28.764978
shlomi-test-org,shlomi-test-org/python-code-,Python,2,2026-05-14 21:52:28.764978
laravel,laravel/docs,PHP,2,2026-05-14 21:52:28.764978
ibm-hyper-protect,ibm-hyper-protect/linuxone-vsi-automation-samples,SQL,2,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa0a4e919f18fc4c45af103d32127f2f7a,C#,2,2026-05-14 21:52:28.764978
RaenonX-PokemonSleep,RaenonX-PokemonSleep/pokemon-sleep-ui,JavaScript,2,2026-05-14 21:52:28.764978
owncloud,owncloud/qnap-packaging,SQL,2,2026-05-14 21:52:28.764978
Aleist3r-s-Org,Aleist3r-s-Org/DuskForgedCore,C++,2,2026-05-14 21:52:28.764978
ioBroker,ioBroker/ioBroker.admin,JavaScript,2,2026-05-14 21:52:28.764978
tiacsys,tiacsys/zephyr,C++,2,2026-05-14 21:52:28.764978
valora-inc,valora-inc/docs,JavaScript,2,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swad39482c7086741e6a229b9551d43074e,C#,2,2026-05-14 21:52:28.764978
jetty-project,jetty-project/embedded-jetty-weld,Java,2,2026-05-14 21:52:28.764978
Coflnet,Coflnet/k8s,JavaScript,2,2026-05-14 21:52:28.764978
LawisIT,LawisIT/jsreport,JavaScript,2,2026-05-14 21:52:28.764978
tModLoader,tModLoader/tModLoader,C#,2,2026-05-14 21:52:28.764978
themeldingwars,themeldingwars/RIN.WebAPI,SQL,2,2026-05-14 21:52:28.764978
TelegramPlayGround,TelegramPlayGround/pyrogram,JavaScript,2,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa7904e351bf384c79b95ba112581bb659,C#,2,2026-05-14 21:52:28.764978
okp4,okp4/eslint-config-okp4,TypeScript,2,2026-05-14 21:52:28.764978
Paper-Proof,Paper-Proof/paperproof,TypeScript,2,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swaf32517c5c8b04b17a08b5a5e8f5f9620,C#,2,2026-05-14 21:52:28.764978
telekom,telekom/mltb2,Python,2,2026-05-14 21:52:28.764978
Infinidat,Infinidat/infi.recipe.js_requirements,JavaScript,2,2026-05-14 21:52:28.764978
Ryujinx,Ryujinx/Ryujinx-Ldn-Website,JavaScript,2,2026-05-14 21:52:28.764978
trailofbits,trailofbits/dylint,Rust,2,2026-05-14 21:52:28.764978
The-Codefun-Exam-Team,The-Codefun-Exam-Team/Codefun-Debug,TypeScript,2,2026-05-14 21:52:28.764978
omniosorg,omniosorg/omnios-extra,Rust,2,2026-05-14 21:52:28.764978
boken-io,boken-io/bilboka-frontend,TypeScript,2,2026-05-14 21:52:28.764978
cloud-py-api,cloud-py-api/nc_py_api,Python,2,2026-05-14 21:52:28.764978
ergebnis,ergebnis/classy,PHP,2,2026-05-14 21:52:28.764978
neonlabsorg,neonlabsorg/proxy-model.py,Python,2,2026-05-14 21:52:28.764978
brython-dev,brython-dev/brython,JavaScript,2,2026-05-14 21:52:28.764978
personal-assistant-for-students,personal-assistant-for-students/tasks-manager,Python,2,2026-05-14 21:52:28.764978
softwareventures,softwareventures/template-node-project,TypeScript,2,2026-05-14 21:52:28.764978
YoeDistro,YoeDistro/poky,Rust,2,2026-05-14 21:52:28.764978
SuperiorOS-Devices,SuperiorOS-Devices/device_oneplus_fajita,Shell,2,2026-05-14 21:52:28.764978
SemanticMediaWiki,SemanticMediaWiki/SemanticMediaWiki,PHP,2,2026-05-14 21:52:28.764978
ioBroker,ioBroker/ioBroker.vis-2,JavaScript,2,2026-05-14 21:52:28.764978
fluctuo,fluctuo/gbfs_types,Rust,2,2026-05-14 21:52:28.764978
KDE,KDE/clazy,C++,2,2026-05-14 21:52:28.764978
Team-Lecue,Team-Lecue/Lequu-Server,Java,2,2026-05-14 21:52:28.764978
opencomponents,opencomponents/vite-templates,JavaScript,2,2026-05-14 21:52:28.764978
SUSTech-CRA,SUSTech-CRA/sustech-online-ng,JavaScript,2,2026-05-14 21:52:28.764978
python-websockets,python-websockets/websockets,Python,2,2026-05-14 21:52:28.764978
attocash,attocash/node,Java,2,2026-05-14 21:52:28.764978
livepeer,livepeer/livepeer-monitoring,JavaScript,2,2026-05-14 21:52:28.764978
redwoodjs,redwoodjs/redwood,JavaScript,2,2026-05-14 21:52:28.764978
Ori-Ticket,Ori-Ticket/Ori-Ticket-FE,JavaScript,2,2026-05-14 21:52:28.764978
invi5H,invi5H/laravel-static-queue,PHP,2,2026-05-14 21:52:28.764978
kubiyabot,kubiyabot/agent-starter-template,Python,2,2026-05-14 21:52:28.764978
